Data,ALR,CCC,CDR,CPS,DNP,JSW,KGH,LPP,MBK,OPL,PEO,PGE,PKN,PKO,PZU,SPL,TPE
2023-01-02,34.7,43.44,128.34,17.8,369.2,57.98,126.612,10244.0,297.4,6.38663,82.3033,6.92,59.4885,30.27,32.6027,244.377,2.135
2023-01-03,38.39,43.0,128.003,17.7,359.4,55.0,129.439,10641.0,322.2,6.35618,86.4699,6.832,60.041,31.76,32.8193,256.405,2.162
2023-01-04,41.05,45.86,126.514,18.04,360.0,57.5,131.423,10611.9,334.0,6.4323,88.9241,6.946,60.5567,32.67,33.7707,269.961,2.206
2023-01-05,41.72,46.82,131.535,18.54,352.8,56.52,135.39,10834.6,336.4,6.54458,89.8754,6.898,57.5178,33.19,33.6765,273.97,2.217
2023-01-09,42.95,45.8,132.706,19.09,365.3,58.08,146.896,11357.5,345.0,6.70824,93.6614,6.7,57.0942,34.43,34.4772,282.37,2.175
2023-01-10,43.48,45.95,137.092,19.07,365.0,58.48,149.624,12132.1,356.0,6.73679,94.9361,6.668,57.0942,35.0,34.7787,285.234,2.143
2023-01-11,41.71,44.8,134.71,19.24,365.2,59.46,149.326,11076.7,339.8,6.60167,94.137,6.81,57.0942,34.45,34.6656,279.697,2.18
2023-01-12,42.42,44.07,128.935,19.1,366.1,58.4,149.872,10408.6,344.4,6.61309,96.4106,6.974,58.1256,35.58,34.4019,285.425,2.253
2023-01-13,42.09,43.29,131.118,18.79,363.5,57.9,152.55,10205.3,343.6,6.556,96.0776,6.92,57.5547,35.32,34.1381,284.089,2.229
2023-01-16,42.44,43.5,127.824,18.65,368.6,56.08,149.078,10408.6,350.6,6.66447,96.8386,6.916,58.2914,35.82,34.1099,288.862,2.195
2023-01-17,42.0,43.64,128.4,18.85,363.0,56.38,147.64,10215.0,335.2,6.63783,93.0145,6.95,57.5178,34.64,33.7613,280.27,2.199
2023-01-18,40.75,42.55,132.25,18.85,361.9,58.1,151.409,10263.4,332.8,6.556,91.2262,7.218,58.8071,34.13,33.5823,277.788,2.214
2023-01-19,39.76,41.5,131.476,19.05,354.7,57.38,145.21,10108.4,331.0,6.55409,90.5603,7.306,58.2914,33.9,34.1946,275.115,2.202
2023-01-20,40.52,42.01,131.495,19.13,363.9,58.8,143.325,10263.4,330.2,6.57503,90.7505,7.26,58.6045,33.88,34.6185,275.115,2.189
2023-01-23,40.54,42.27,134.651,19.6,370.3,61.28,146.598,10273.1,328.0,6.67208,91.9872,7.47,59.8384,34.05,34.9011,280.843,2.31
2023-01-24,40.31,42.55,132.885,19.23,374.1,64.42,147.491,10176.2,329.0,6.59025,91.7018,7.584,59.7095,33.98,34.5055,279.888,2.338
2023-01-25,38.49,41.72,130.503,18.79,375.4,64.48,146.946,10050.4,313.4,6.57503,87.4211,7.442,59.2675,32.62,34.1758,269.197,2.323
2023-01-26,38.8,42.36,133.619,19.14,386.4,64.96,148.037,10060.0,322.6,6.65876,88.0109,7.554,59.9674,32.63,34.6751,271.488,2.334
2023-01-27,38.8,42.21,132.865,18.9,387.2,64.32,145.011,10069.7,317.4,6.75011,87.0216,7.56,62.2143,32.22,34.3925,269.579,2.307
2023-01-30,37.06,42.9,131.773,18.37,392.6,63.84,142.532,9895.44,309.2,6.60357,85.7279,7.59,60.7225,31.53,34.3925,268.815,2.311
2023-01-31,39.19,44.0,138.243,18.35,391.1,67.24,139.507,9798.61,317.8,6.64163,87.7065,7.488,59.7832,32.16,34.5903,273.97,2.36
2023-02-01,39.25,41.02,137.211,18.2,380.4,59.42,137.721,9769.56,314.8,6.56551,86.4318,7.03,57.9046,32.16,34.5432,270.151,2.245
2023-02-02,39.81,42.0,144.653,18.8,380.0,60.5,140.3,9953.53,318.8,6.63402,87.8397,7.118,58.5308,32.35,35.0142,274.161,2.251
2023-02-03,40.2,41.09,145.665,18.6,385.9,57.62,136.63,10021.3,320.0,6.57693,88.848,6.986,58.0519,32.72,35.0424,276.834,2.198
2023-02-06,39.1,39.28,141.458,17.91,379.5,57.5,133.803,9798.61,312.6,6.45323,86.565,6.77,57.1311,31.84,33.7802,269.77,2.18
2023-02-07,39.09,38.3,140.188,17.91,382.4,57.6,137.225,9798.61,312.6,6.4932,86.7552,6.8,57.6652,31.81,33.8461,271.106,2.189
2023-02-08,38.94,37.65,140.605,18.15,376.9,59.66,136.828,9779.25,318.0,6.47036,87.9348,6.872,59.3964,32.25,33.8461,273.588,2.206
2023-02-09,40.53,38.0,140.386,17.97,376.0,57.42,137.622,9769.56,319.0,6.46275,89.571,6.916,59.1017,32.8,34.2606,275.688,2.207
2023-02-10,38.87,36.93,137.568,17.91,365.5,56.44,132.563,9348.38,309.4,6.52745,87.364,6.85,58.4755,32.13,33.2432,271.87,2.17
2023-02-13,38.8,35.61,137.826,17.52,364.0,53.72,132.067,9527.5,313.0,6.42278,88.1821,6.736,58.4019,32.3,33.9591,272.061,2.125
2023-02-14,39.37,35.09,133.202,17.56,359.3,54.88,132.663,9483.93,320.0,6.49891,89.0953,6.766,58.586,32.74,33.6483,274.924,2.113
2023-02-15,39.52,35.32,137.33,17.61,370.0,55.94,131.522,9653.38,321.4,6.54458,89.2856,6.752,58.7518,33.04,34.0722,276.643,2.124
2023-02-16,40.8,36.5,138.441,17.72,368.0,55.6,132.911,9537.19,327.2,6.67018,90.5222,6.766,58.2914,32.36,34.1004,276.07,2.156
2023-02-17,39.84,36.02,134.77,18.15,371.4,55.9,132.315,9667.9,322.0,6.67018,87.6114,6.898,58.2914,31.92,34.0062,274.161,2.166
2023-02-20,39.46,35.19,135.286,17.96,370.0,56.1,135.589,9590.44,319.2,6.63593,85.7469,6.92,58.2361,31.35,33.6483,274.543,2.182
2023-02-21,39.0,34.49,130.206,17.57,371.5,55.34,134.498,9566.23,314.6,6.52555,84.0346,6.772,57.8309,30.73,33.5258,272.061,2.136
2023-02-22,38.5,34.2,130.92,17.31,363.8,53.28,127.455,9295.13,312.0,6.60928,82.2082,6.686,57.4626,30.04,33.0077,268.433,2.096
2023-02-23,39.07,35.04,133.46,17.47,372.5,55.76,127.307,9212.82,314.0,6.56742,83.0834,6.758,59.1202,30.56,33.9215,268.815,2.167
2023-02-24,39.72,34.76,128.519,17.23,370.0,54.06,122.992,9135.37,317.6,6.46275,83.8444,6.624,57.6099,30.6,34.1099,272.633,2.138
2023-02-27,39.82,35.13,131.099,17.16,370.8,54.8,124.777,9280.6,316.0,6.40946,83.9205,6.66,58.0519,30.56,34.091,283.134,2.149
2023-02-28,40.61,35.39,131.376,17.25,371.6,54.66,126.364,9120.84,328.0,6.39804,85.3093,6.68,61.3855,31.08,34.4961,285.234,2.153
2023-03-01,40.25,35.49,131.238,17.48,373.4,55.54,131.125,9304.81,323.8,6.51223,85.3283,6.74,61.0356,31.35,34.628,286.38,2.148
2023-03-02,39.6,34.68,129.789,17.33,376.2,52.24,127.009,9140.21,311.2,6.42278,83.1024,6.444,60.0042,30.53,34.0439,273.206,2.066
2023-03-03,39.5,35.45,129.65,17.35,382.7,53.0,129.836,9343.54,316.2,6.44752,84.3581,6.36,60.4094,30.97,34.4396,277.979,2.077
2023-03-06,40.48,35.96,131.178,17.99,389.1,53.78,128.943,9498.46,326.4,6.53887,86.6601,6.606,61.0908,31.6,35.2874,288.289,2.085
2023-03-07,41.02,34.88,132.428,17.78,394.3,52.6,124.827,9488.77,321.0,6.48939,86.2416,6.644,59.9489,30.99,34.8917,282.561,2.064
2023-03-08,41.75,34.99,131.238,18.0,403.5,53.04,124.976,9503.3,321.8,6.59977,86.6601,6.516,60.0042,31.1,34.9765,285.043,2.043
2023-03-09,41.0,35.23,131.158,17.84,407.4,52.16,120.909,9232.19,317.8,6.6226,85.2522,6.624,58.4571,30.5,34.7033,284.47,2.096
2023-03-10,39.34,35.43,127.705,17.1,414.6,50.66,120.463,9130.52,304.2,6.45514,81.4472,6.506,57.5178,29.78,33.5635,274.161,2.061
2023-03-13,38.5,35.05,126.098,16.95,405.1,48.15,118.578,8902.99,295.8,6.24199,78.4031,6.336,55.2341,28.91,32.8287,269.388,2.028
2023-03-14,39.02,35.7,128.995,16.65,412.6,47.37,119.52,9004.65,294.6,6.12781,78.6885,6.166,54.9946,28.83,32.1222,269.006,2.01
2023-03-15,36.88,35.0,128.36,16.34,405.0,44.1,112.379,8854.58,286.0,6.11068,76.3104,6.104,51.9926,27.97,31.2556,267.288,1.944
2023-03-16,36.66,35.32,134.353,16.51,409.3,45.55,113.966,8975.61,283.0,6.19252,75.9869,6.044,51.127,27.2,31.0107,265.569,1.9475
2023-03-17,34.4,36.17,129.987,16.03,411.5,44.9,113.47,8922.35,272.8,6.13733,73.6088,5.86,51.0533,26.46,29.8897,258.314,1.8925
2023-03-20,33.93,36.78,129.709,16.14,410.3,46.71,116.396,8994.97,273.8,6.1849,75.0357,5.982,51.2743,26.76,29.7955,252.587,1.907
2023-03-21,34.7,36.7,115.56,16.42,414.1,47.5,117.933,9009.49,288.0,6.29338,78.6314,6.212,53.2634,27.98,31.3215,262.133,1.968
2023-03-22,34.29,36.59,111.908,15.92,414.7,46.68,117.685,8990.13,281.2,6.38472,77.2426,6.14,53.1345,27.56,30.9071,260.415,1.9505
2023-03-23,34.46,36.8,109.15,16.09,403.3,46.45,116.446,9091.79,283.0,6.50081,77.2426,6.23,53.0608,27.4,30.9918,262.133,1.9475
2023-03-24,34.11,35.53,109.745,15.79,387.2,45.44,114.015,9043.38,274.2,6.4304,75.0547,6.056,51.8084,26.72,30.144,258.887,1.898
2023-03-27,35.7,35.72,113.178,15.8,391.1,45.46,115.503,9280.6,277.0,6.39995,76.3865,6.016,52.2873,27.07,30.2571,259.842,1.883
2023-03-28,36.86,35.98,108.157,15.74,400.4,45.37,116.049,9048.22,286.8,6.23248,77.6802,6.008,52.4714,27.2,30.3607,273.015,1.8495
2023-03-29,37.84,36.09,109.328,16.22,385.3,46.91,117.537,9067.59,298.8,6.27054,79.5827,6.0,52.3609,28.05,30.8976,280.079,1.8625
2023-03-30,38.57,36.86,112.404,16.57,382.9,47.78,122.248,9295.13,305.8,6.34286,81.314,6.394,53.7422,28.81,32.9889,284.28,1.981
2023-03-31,38.75,38.59,110.36,16.74,391.1,47.11,121.256,9275.76,306.4,6.4951,81.295,6.276,53.6317,28.52,33.0454,278.552,1.927
2023-04-03,39.3,38.28,107.225,16.5,387.5,47.0,119.669,9391.95,319.0,6.51603,82.8551,6.26,55.0499,29.05,33.1584,286.38,1.944
2023-04-04,40.23,38.36,107.602,16.18,389.4,45.78,117.487,9421.0,324.4,6.50652,82.7029,6.216,54.6079,28.89,33.912,285.234,1.954
2023-04-05,38.94,38.19,107.006,16.28,383.4,44.47,115.404,9217.67,320.8,6.6816,81.0096,6.22,54.3132,28.64,33.9309,280.652,1.9125
2023-04-06,39.13,39.0,105.379,16.21,379.7,44.75,115.503,9038.54,323.4,6.6816,81.9799,6.244,53.9633,28.67,33.9591,281.607,1.92
2023-04-11,41.06,42.0,104.823,16.02,374.0,45.49,118.975,8990.13,329.8,6.63212,83.7302,6.448,55.7498,29.25,34.3642,290.962,1.959
2023-04-12,42.3,40.73,107.999,16.29,373.5,47.29,121.008,9391.95,342.2,6.70253,85.8801,6.434,56.2839,30.0,34.9577,298.408,1.95
2023-04-13,44.24,39.2,109.15,16.44,388.0,47.24,122.843,9469.41,350.8,6.80339,87.4211,6.47,56.2839,30.83,34.9106,298.789,1.9385
2023-04-14,45.1,39.33,109.884,16.41,392.9,46.17,124.926,9440.36,356.6,6.83194,88.9431,6.618,56.4865,31.29,34.9671,307.19,2.014
2023-04-17,45.42,42.4,110.082,17.0,393.5,46.43,121.157,9275.76,356.0,6.87952,89.3807,6.66,56.818,31.4,35.0142,311.008,2.062
2023-04-18,45.25,42.4,108.852,16.84,395.0,47.01,127.802,9522.66,360.0,6.9347,91.4164,6.752,57.4257,32.35,36.0975,314.827,2.094
2023-04-19,44.94,41.6,108.356,16.9,397.1,46.01,124.678,9527.5,365.2,7.02224,92.1584,6.69,56.8364,32.47,36.267,324.564,2.061
2023-04-20,45.08,46.74,108.802,17.57,399.7,46.16,125.025,9759.88,366.2,7.00131,93.2238,6.792,56.4496,32.63,36.3518,329.718,2.076
2023-04-21,45.73,46.8,109.943,17.13,395.3,44.74,121.752,9934.17,366.4,6.79388,92.6911,6.686,56.4865,32.58,36.2388,321.7,2.064
2023-04-24,45.04,46.74,109.447,16.915,399.5,45.38,119.768,9953.53,352.2,6.84336,93.6995,6.76,57.1126,32.73,36.5025,332.391,2.077
2023-04-25,44.63,45.1,110.142,16.69,401.2,44.24,115.255,9692.1,349.4,6.75582,92.9384,6.85,57.306,32.11,36.0881,324.564,2.085
2023-04-26,43.6,44.3,111.085,16.95,404.3,43.84,116.991,9682.42,338.0,6.77485,91.4735,6.726,58.098,31.79,35.8431,319.218,2.044
2023-04-27,44.7,45.5,113.119,17.32,428.2,44.71,118.33,11522.1,354.6,6.87,93.9848,6.838,59.5438,32.54,36.4366,329.718,2.069
2023-04-28,43.4,44.76,112.424,17.44,423.4,42.9,118.429,11618.9,347.5,6.89664,91.3023,6.878,58.4019,32.07,36.0786,322.845,2.069
2023-05-02,42.83,44.25,110.886,17.91,428.5,41.87,115.057,12035.3,341.7,7.05079,90.5603,6.898,58.0059,31.62,36.333,319.982,2.051
2023-05-04,41.63,45.96,111.134,17.525,414.9,40.68,115.206,11812.6,334.3,7.0565,87.6494,6.642,57.0206,30.37,35.8526,315.018,1.995
2023-05-05,42.32,48.78,112.027,17.945,406.7,41.55,117.586,12103.0,344.7,7.16497,90.1417,6.746,58.0611,31.13,37.0489,314.827,2.043
2023-05-08,42.35,51.8,110.936,17.805,402.0,42.0,121.107,12093.3,354.7,7.25061,90.0847,7.056,58.1624,31.27,37.1148,318.836,2.143
2023-05-09,42.0,50.64,110.985,17.66,408.2,41.9,119.471,12122.4,346.8,7.21255,90.0086,6.94,57.6744,31.12,37.1619,317.881,2.115
2023-05-10,42.82,51.5,112.126,18.11,409.6,42.2,118.181,12180.5,355.2,7.08314,90.8457,7.248,57.8862,31.18,37.2279,318.454,2.246
2023-05-11,42.77,49.54,115.798,17.58,405.6,41.25,113.867,12103.0,349.5,7.1174,90.4081,7.166,57.527,31.0,36.5402,315.209,2.24
2023-05-12,43.4,48.53,113.962,17.75,417.7,40.91,113.718,12509.7,350.1,7.23158,91.2071,7.302,58.2545,31.35,37.1619,316.927,2.344
2023-05-15,42.22,49.0,113.516,17.72,420.0,41.7,115.255,12548.4,339.9,7.15355,91.0169,7.4,58.761,31.37,36.9547,313.299,2.339
2023-05-16,42.3,48.45,110.34,18.12,424.2,40.76,113.867,12567.8,345.8,7.21635,91.8921,7.482,58.4848,31.63,37.3598,313.108,2.368
2023-05-17,41.93,50.44,108.306,17.175,421.0,40.13,112.18,12345.1,341.1,7.02415,91.9491,7.06,58.4111,31.67,37.3503,311.199,2.191
2023-05-18,42.4,49.7,108.653,17.07,414.4,40.51,110.445,12364.5,344.0,6.9918,93.8326,6.956,58.4203,32.23,37.6989,314.636,2.151
2023-05-19,43.6,50.0,112.821,17.365,423.5,41.06,111.784,12877.6,364.9,7.06221,96.6484,7.12,59.3688,33.25,38.1887,332.773,2.186
2023-05-22,43.9,50.12,117.137,17.46,425.9,40.56,112.676,12858.3,366.5,7.06982,96.6959,7.394,59.5438,33.52,38.2452,334.873,2.316
2023-05-23,44.23,48.6,120.065,17.56,422.5,40.88,110.098,12800.2,370.0,7.14023,97.5996,7.404,59.0189,33.74,38.5844,335.828,2.37
2023-05-24,42.77,46.94,113.466,16.77,420.7,42.42,104.841,12054.6,360.0,6.9937,94.9932,7.292,59.2583,32.63,38.0568,325.9,2.387
2023-05-25,43.53,46.83,113.317,16.55,425.2,40.13,104.444,11793.2,368.0,6.86239,96.363,7.128,57.6191,32.97,38.0286,332.773,2.415
2023-05-26,44.28,47.98,117.981,16.64,429.5,40.73,108.411,12122.4,378.0,6.87381,97.9801,7.15,59.6451,34.07,38.6032,334.301,2.408
2023-05-29,43.6,47.35,124.034,16.65,424.3,41.04,108.709,11996.5,379.0,6.91377,97.3618,7.2,58.982,34.08,38.1322,336.782,2.418
2023-05-30,42.42,47.17,122.496,16.45,422.0,39.7,105.981,11861.0,366.6,6.95564,95.602,6.88,57.702,33.13,37.7554,331.437,2.324
2023-05-31,40.43,45.71,120.263,15.445,416.1,38.45,103.75,11618.9,352.8,6.87,91.5686,6.716,55.4274,32.08,36.3424,321.318,2.22
2023-06-01,41.59,44.2,123.041,15.64,442.0,39.34,107.667,12074.0,356.8,6.90235,93.8707,6.968,57.4442,32.8,37.3315,329.718,2.315
2023-06-02,44.49,45.01,127.457,15.965,459.0,41.4,113.47,12538.7,384.5,6.91758,99.2168,7.094,58.9544,34.47,38.1322,349.765,2.344
2023-06-05,44.48,45.91,129.69,16.83,455.7,41.89,112.329,12606.5,388.0,7.07743,97.885,7.23,59.1202,34.3,37.7177,350.72,2.38
2023-06-06,46.45,45.03,131.575,16.925,460.4,42.0,112.627,12732.4,396.0,7.26964,101.547,7.32,59.8845,35.78,38.7539,362.938,2.42
2023-06-07,45.1,45.08,129.987,16.53,458.0,42.14,112.875,12761.4,379.6,7.04318,100.691,7.15,59.9121,35.32,38.5749,353.965,2.405
2023-06-09,45.55,45.68,128.35,16.515,460.3,42.49,113.222,13371.4,397.7,6.91567,103.402,7.14,60.0779,35.79,38.5844,371.53,2.431
2023-06-12,44.44,45.21,141.4,16.39,469.9,41.45,109.998,14039.5,378.9,6.92899,102.736,7.15,58.8807,35.34,38.1416,359.884,2.39
2023-06-13,43.4,45.75,140.3,16.32,476.5,42.06,113.371,13458.6,375.8,6.78817,101.69,7.08,58.8807,34.95,37.9626,353.583,2.354
2023-06-14,45.22,43.23,159.0,17.035,473.5,44.31,117.983,13642.5,394.2,6.82433,106.542,7.284,59.82,35.6,38.3489,368.857,2.419
2023-06-15,45.45,42.94,168.25,17.14,484.1,44.36,119.768,13700.6,396.4,6.89474,106.589,7.44,60.3633,35.67,38.4525,372.675,2.48
2023-06-16,45.92,43.0,170.0,17.045,477.1,42.34,119.719,13904.0,404.4,6.85097,106.637,7.518,61.5328,36.17,38.7068,371.53,2.487
2023-06-19,46.07,42.54,165.8,17.16,467.9,41.2,116.198,13632.9,396.8,6.86239,105.4,7.508,60.9619,35.92,38.3112,367.33,2.588
2023-06-20,45.87,41.9,156.05,17.015,469.8,41.66,113.718,13168.1,394.4,6.83955,104.116,7.408,61.3118,35.53,38.2641,364.848,2.551
2023-06-21,47.14,41.84,154.8,16.55,467.1,42.25,114.462,13061.6,396.0,6.82623,106.066,7.36,61.6986,35.97,38.6597,367.521,2.576
2023-06-22,47.02,42.23,155.6,16.715,462.0,41.52,115.553,13168.1,395.2,6.75772,106.732,7.15,61.5513,36.23,38.5749,371.148,2.58
2023-06-23,45.3,40.63,152.0,16.355,462.8,41.24,111.536,13051.9,385.8,6.79198,103.022,7.176,60.4738,35.26,37.8119,355.874,2.604
