Data,JSW,CDR,ALR,DNP
2023-01-02,57.98,128.34,34.7,369.2
2023-01-03,55.0,128.003,38.39,359.4
2023-01-04,57.5,126.514,41.05,360.0
2023-01-05,56.52,131.535,41.72,352.8
2023-01-09,58.08,132.706,42.95,365.3
2023-01-10,58.48,137.092,43.48,365.0
2023-01-11,59.46,134.71,41.71,365.2
2023-01-12,58.4,128.935,42.42,366.1
2023-01-13,57.9,131.118,42.09,363.5
2023-01-16,56.08,127.824,42.44,368.6
2023-01-17,56.38,128.4,42.0,363.0
2023-01-18,58.1,132.25,40.75,361.9
2023-01-19,57.38,131.476,39.76,354.7
2023-01-20,58.8,131.495,40.52,363.9
2023-01-23,61.28,134.651,40.54,370.3
2023-01-24,64.42,132.885,40.31,374.1
2023-01-25,64.48,130.503,38.49,375.4
2023-01-26,64.96,133.619,38.8,386.4
2023-01-27,64.32,132.865,38.8,387.2
2023-01-30,63.84,131.773,37.06,392.6
2023-01-31,67.24,138.243,39.19,391.1
2023-02-01,59.42,137.211,39.25,380.4
2023-02-02,60.5,144.653,39.81,380.0
2023-02-03,57.62,145.665,40.2,385.9
2023-02-06,57.5,141.458,39.1,379.5
2023-02-07,57.6,140.188,39.09,382.4
2023-02-08,59.66,140.605,38.94,376.9
2023-02-09,57.42,140.386,40.53,376.0
2023-02-10,56.44,137.568,38.87,365.5
2023-02-13,53.72,137.826,38.8,364.0
2023-02-14,54.88,133.202,39.37,359.3
2023-02-15,55.94,137.33,39.52,370.0
2023-02-16,55.6,138.441,40.8,368.0
2023-02-17,55.9,134.77,39.84,371.4
2023-02-20,56.1,135.286,39.46,370.0
2023-02-21,55.34,130.206,39.0,371.5
2023-02-22,53.28,130.92,38.5,363.8
2023-02-23,55.76,133.46,39.07,372.5
2023-02-24,54.06,128.519,39.72,370.0
2023-02-27,54.8,131.099,39.82,370.8
2023-02-28,54.66,131.376,40.61,371.6
2023-03-01,55.54,131.238,40.25,373.4
2023-03-02,52.24,129.789,39.6,376.2
2023-03-03,53.0,129.65,39.5,382.7
2023-03-06,53.78,131.178,40.48,389.1
2023-03-07,52.6,132.428,41.02,394.3
2023-03-08,53.04,131.238,41.75,403.5
2023-03-09,52.16,131.158,41.0,407.4
2023-03-10,50.66,127.705,39.34,414.6
2023-03-13,48.15,126.098,38.5,405.1
2023-03-14,47.37,128.995,39.02,412.6
2023-03-15,44.1,128.36,36.88,405.0
2023-03-16,45.55,134.353,36.66,409.3
2023-03-17,44.9,129.987,34.4,411.5
2023-03-20,46.71,129.709,33.93,410.3
2023-03-21,47.5,115.56,34.7,414.1
2023-03-22,46.68,111.908,34.29,414.7
2023-03-23,46.45,109.15,34.46,403.3
2023-03-24,45.44,109.745,34.11,387.2
2023-03-27,45.46,113.178,35.7,391.1
2023-03-28,45.37,108.157,36.86,400.4
2023-03-29,46.91,109.328,37.84,385.3
2023-03-30,47.78,112.404,38.57,382.9
2023-03-31,47.11,110.36,38.75,391.1
2023-04-03,47.0,107.225,39.3,387.5
2023-04-04,45.78,107.602,40.23,389.4
2023-04-05,44.47,107.006,38.94,383.4
2023-04-06,44.75,105.379,39.13,379.7
2023-04-11,45.49,104.823,41.06,374.0
2023-04-12,47.29,107.999,42.3,373.5
2023-04-13,47.24,109.15,44.24,388.0
2023-04-14,46.17,109.884,45.1,392.9
2023-04-17,46.43,110.082,45.42,393.5
2023-04-18,47.01,108.852,45.25,395.0
2023-04-19,46.01,108.356,44.94,397.1
2023-04-20,46.16,108.802,45.08,399.7
2023-04-21,44.74,109.943,45.73,395.3
2023-04-24,45.38,109.447,45.04,399.5
2023-04-25,44.24,110.142,44.63,401.2
2023-04-26,43.84,111.085,43.6,404.3
2023-04-27,44.71,113.119,44.7,428.2
2023-04-28,42.9,112.424,43.4,423.4
2023-05-02,41.87,110.886,42.83,428.5
2023-05-04,40.68,111.134,41.63,414.9
2023-05-05,41.55,112.027,42.32,406.7
2023-05-08,42.0,110.936,42.35,402.0
2023-05-09,41.9,110.985,42.0,408.2
2023-05-10,42.2,112.126,42.82,409.6
2023-05-11,41.25,115.798,42.77,405.6
2023-05-12,40.91,113.962,43.4,417.7
2023-05-15,41.7,113.516,42.22,420.0
2023-05-16,40.76,110.34,42.3,424.2
2023-05-17,40.13,108.306,41.93,421.0
2023-05-18,40.51,108.653,42.4,414.4
2023-05-19,41.06,112.821,43.6,423.5
2023-05-22,40.56,117.137,43.9,425.9
2023-05-23,40.88,120.065,44.23,422.5
2023-05-24,42.42,113.466,42.77,420.7
2023-05-25,40.13,113.317,43.53,425.2
2023-05-26,40.73,117.981,44.28,429.5
2023-05-29,41.04,124.034,43.6,424.3
2023-05-30,39.7,122.496,42.42,422.0
2023-05-31,38.45,120.263,40.43,416.1
2023-06-01,39.34,123.041,41.59,442.0
2023-06-02,41.4,127.457,44.49,459.0
2023-06-05,41.89,129.69,44.48,455.7
2023-06-06,42.0,131.575,46.45,460.4
2023-06-07,42.14,129.987,45.1,458.0
2023-06-09,42.49,128.35,45.55,460.3
2023-06-12,41.45,141.4,44.44,469.9
2023-06-13,42.06,140.3,43.4,476.5
2023-06-14,44.31,159.0,45.22,473.5
2023-06-15,44.36,168.25,45.45,484.1
2023-06-16,42.34,170.0,45.92,477.1
2023-06-19,41.2,165.8,46.07,467.9
2023-06-20,41.66,156.05,45.87,469.8
2023-06-21,42.25,154.8,47.14,467.1
2023-06-22,41.52,155.6,47.02,462.0
2023-06-23,41.24,152.0,45.3,462.8
2023-06-26,41.25,152.1,47.33,466.4
2023-06-27,40.84,147.3,47.02,459.5
2023-06-28,40.35,150.85,47.3,465.8
2023-06-29,40.79,154.65,47.32,470.0
2023-06-30,40.05,154.85,48.36,474.8
2023-07-03,40.92,155.0,50.24,476.2
2023-07-04,40.2,151.7,49.5,470.6
2023-07-05,39.55,143.35,48.01,462.0
2023-07-06,39.0,144.8,48.72,462.5
2023-07-07,37.42,145.0,49.6,456.2
2023-07-10,38.44,145.5,50.6,465.8
2023-07-11,40.0,144.55,51.46,466.6
2023-07-12,41.66,150.5,53.8,466.0
2023-07-13,42.78,154.05,54.7,461.2
2023-07-14,42.43,154.2,54.72,467.8
2023-07-17,42.74,159.5,55.42,471.4
2023-07-18,42.39,159.45,56.5,471.9
2023-07-19,42.99,160.0,57.8,474.0
2023-07-20,43.83,160.2,57.4,472.4
2023-07-21,41.88,159.75,56.3,475.0
2023-07-24,41.27,158.25,57.56,480.0
2023-07-25,42.27,157.75,57.2,476.0
2023-07-26,41.33,157.85,56.56,475.0
2023-07-27,41.1,164.3,58.2,460.1
2023-07-28,40.55,164.4,58.18,459.2
2023-07-31,40.9,163.35,58.04,446.3
2023-08-01,40.43,160.8,57.6,449.1
2023-08-02,39.08,159.3,57.5,444.0
2023-08-03,38.52,162.7,57.6,447.4
2023-08-04,38.89,163.1,59.36,451.2
2023-08-07,38.58,162.45,58.66,437.7
2023-08-08,37.74,159.85,55.84,432.9
2023-08-09,38.65,155.3,56.98,430.2
2023-08-10,37.6,159.5,59.38,434.6
2023-08-11,36.8,157.25,58.84,431.5
2023-08-14,36.02,157.25,57.72,433.3
2023-08-16,34.59,150.05,55.7,432.3
2023-08-17,34.1,149.4,53.52,432.3
2023-08-18,34.7,154.0,55.0,396.2
2023-08-21,35.35,155.6,55.08,384.7
2023-08-22,35.01,157.1,53.96,384.4
2023-08-23,34.6,159.8,53.52,373.0
2023-08-24,34.29,154.95,53.34,374.9
2023-08-25,34.72,156.1,52.42,377.3
2023-08-28,38.1,154.85,54.7,389.6
2023-08-29,37.69,155.95,55.68,395.0
2023-08-30,37.37,153.55,56.5,381.8
2023-08-31,36.21,147.55,56.18,378.9
2023-09-01,37.02,150.45,55.54,377.7
2023-09-04,37.2,156.3,54.0,375.0
2023-09-05,36.48,153.55,54.0,375.8
2023-09-06,35.99,151.0,51.4,382.7
2023-09-07,35.68,147.85,49.04,386.5
2023-09-08,37.26,154.1,49.71,383.8
2023-09-11,37.99,156.25,49.78,382.3
2023-09-12,38.01,156.7,50.22,377.4
2023-09-13,39.3,155.9,51.0,372.0
2023-09-14,42.12,155.65,51.8,375.0
2023-09-15,43.25,154.25,51.66,382.9
2023-09-18,43.35,153.3,49.87,388.7
2023-09-19,44.34,148.4,49.96,370.0
2023-09-20,45.63,153.0,51.8,376.3
2023-09-21,44.5,148.6,50.52,373.1
2023-09-22,44.81,148.7,49.82,373.8
2023-09-25,42.68,149.4,49.2,375.4
2023-09-26,42.7,141.1,49.9,361.4
2023-09-27,43.95,135.0,48.55,360.2
2023-09-28,44.39,123.7,49.6,347.8
2023-09-29,44.02,125.2,51.8,355.0
2023-10-02,42.83,120.8,50.34,344.9
2023-10-03,42.4,129.1,49.5,343.7
2023-10-04,43.85,126.55,52.5,345.8
2023-10-05,43.99,118.75,52.84,348.9
2023-10-06,40.58,107.6,55.74,350.8
2023-10-09,42.16,109.55,58.32,359.1
2023-10-10,43.95,112.3,58.38,365.9
2023-10-11,43.61,109.7,60.66,359.6
2023-10-12,43.7,105.55,59.84,345.0
2023-10-13,44.08,105.9,60.6,358.6
2023-10-16,44.65,101.65,62.5,366.0
2023-10-17,44.2,105.35,63.2,383.5
2023-10-18,45.8,104.4,62.3,386.3
2023-10-19,45.0,105.15,62.0,375.0
2023-10-20,44.1,104.6,61.88,378.0
2023-10-23,43.55,103.45,61.74,374.0
2023-10-24,43.46,103.65,64.0,373.9
2023-10-25,43.52,105.6,64.8,380.1
2023-10-26,45.46,106.55,66.0,398.3
2023-10-27,45.09,106.7,65.1,395.4
2023-10-30,46.99,105.0,65.88,390.2
2023-10-31,49.94,105.0,66.18,398.5
2023-11-02,50.06,108.35,66.16,396.0
2023-11-03,49.51,110.0,66.82,423.5
2023-11-06,50.8,109.6,68.1,433.9
2023-11-07,50.18,109.5,68.5,433.5
2023-11-08,47.86,108.25,68.82,434.4
2023-11-09,48.95,110.0,69.62,430.0
2023-11-10,47.46,109.2,68.34,434.4
2023-11-13,47.32,107.7,69.24,439.4
2023-11-14,50.44,114.1,71.94,447.7
2023-11-15,49.71,114.0,71.44,438.5
2023-11-16,49.78,112.6,71.82,440.8
2023-11-17,49.77,113.15,72.68,441.6
2023-11-20,50.9,113.85,75.12,442.1
2023-11-21,49.97,113.2,73.5,443.0
2023-11-22,47.82,113.85,74.18,446.6
2023-11-23,42.0,110.4,74.38,441.9
2023-11-24,41.1,111.95,74.36,442.1
2023-11-27,41.2,109.6,73.26,440.4
2023-11-28,40.84,107.95,76.26,444.0
2023-11-29,42.0,104.2,77.4,450.0
2023-11-30,39.54,108.85,77.18,445.8
2023-12-01,41.72,111.0,79.0,456.5
2023-12-04,41.0,106.7,77.5,464.8
2023-12-05,41.2,107.75,76.8,466.0
2023-12-06,42.03,108.5,76.9,468.5
2023-12-07,42.65,108.25,76.6,456.0
2023-12-08,44.91,112.15,77.2,454.3
2023-12-11,44.72,113.85,76.64,461.1
2023-12-12,43.58,113.3,75.78,457.2
2023-12-13,42.62,112.85,75.9,450.9
2023-12-14,43.88,114.0,75.32,457.0
2023-12-15,44.53,114.4,75.08,458.4
2023-12-18,43.52,115.3,75.3,459.9
2023-12-19,43.63,116.5,78.2,463.7
2023-12-20,42.0,116.0,76.7,459.0
2023-12-21,41.84,116.0,76.3,460.6
2023-12-22,41.76,116.5,77.0,457.0
2023-12-27,42.33,115.0,77.56,462.0
2023-12-28,42.48,115.7,76.8,461.3
2023-12-29,42.03,115.0,76.34,460.7
